,,me,jeff
13:55-11/16,1258397726,1
13:56-11/16,1258397795,3
13:56-11/16,1258397796,4
13:56-11/16,1258397797,5
13:56-11/16,1258397798,6
13:56-11/16,1258397799,7
13:56-11/16,1258397800,8
13:56-11/16,1258397801,9
13:56-11/16,1258397801,10
13:56-11/16,1258397802,11
13:56-11/16,1258397803,12
13:56-11/16,1258397803,13
13:56-11/16,1258397804,14
13:56-11/16,1258397805,15
13:56-11/16,1258397812,16
13:56-11/16,1258397815,17
13:56-11/16,1258397817,18
13:56-11/16,1258397817,19
13:56-11/16,1258397818,20
13:56-11/16,1258397819,21
13:57-11/16,1258397820,22
13:57-11/16,1258397820,23
13:58-11/16,1258397885,24
13:58-11/16,1258397886,25
13:58-11/16,1258397887,26
13:58-11/16,1258397887,27
13:58-11/16,1258397888,28
13:58-11/16,1258397888,29
13:58-11/16,1258397889,30
13:58-11/16,1258397889,31
14:03-11/16,1258398182,1
14:03-11/16,1258398183,2
14:03-11/16,1258398184,3
14:03-11/16,1258398185,4
14:03-11/16,1258398185,5
14:03-11/16,1258398186,6
14:06-11/16,1258398369,7
14:06-11/16,1258398370,8
14:06-11/16,1258398370,9
14:06-11/16,1258398371,10
14:06-11/16,1258398372,11
14:06-11/16,1258398372,12
14:06-11/16,1258398373,13
14:06-11/16,1258398373,14
14:07-11/16,1258398437,15
14:07-11/16,1258398437,16
14:09-11/16,1258398552,17
14:09-11/16,1258398552,18
14:09-11/16,1258398553,19
14:09-11/16,1258398553,20
14:09-11/16,1258398554,21
14:09-11/16,1258398554,22
14:09-11/16,1258398555,23
14:09-11/16,1258398555,24
14:09-11/16,1258398556,25
14:11-11/16,1258398672,26
14:11-11/16,1258398673,27
14:11-11/16,1258398673,28
14:11-11/16,1258398674,29
14:11-11/16,1258398674,30
14:11-11/16,1258398675,31
14:11-11/16,1258398675,32
14:11-11/16,1258398676,33
14:11-11/16,1258398676,34
14:11-11/16,1258398677,35
14:11-11/16,1258398677,36
14:12-11/16,1258398738,1,36
14:12-11/16,1258398740,2,36
14:12-11/16,1258398742,3,36